restaurant,restaurant_slug,category,item_name,description,price_sar,image_file,image_source_url
AANI & DANI,aani-dani-89598,Cake,Pecan Caramel,"Crispy carrot cake filled with fresh cream cheese, covered with a rich layer of caramelized and crunchy pecans",189.95,images/8e52af0da0840fea.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/e53b81a9b1b202bbb3ec9aa72b4e3a9d.jpg?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Cake,Snickers Cake Medium,"Layers of an amazing chocolate cake filled with dark chocolate cream, peanut cream, peanut nougat & salted caramel coated with chocolate glazed with peanut nougat cracks",149.95,images/3cd702f54fddca99.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/14d3f977f405d3013d12fbaac61f946a.jpg?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Cake,Luxury Cake,An indulgent london cake featuring rich sponge layers coated with signature caramel and luxurious chocolate ganache crafted from premium belgian dark chocolate and smooth milk chocolate.,209,images/563b26cdd7b4a8ff.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/634df3be30faa8df450b0a72cbc8a444.jpeg?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Pudding,Caramel Pudding,"Layers of moist toffee sponge and cream cheese, covered with speculoos crumbles and decorated with white chocolate crescent and a ramadan-themed milk chocolate coin.",142,images/aa4e03a1e8ca049d.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/e58b40a2bddf9061234c798cf7170bbc.jpg?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Macaron,Classic Macaron,An elegant box containing colorful and fragile macarons with distinctive flavors,0,images/80cb36f270195516.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/5db619a8f2928336e30064bb851ba440.jpeg?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Chocolate,Bumby Bumb Brownie Box,"Indulge in the rich, fudgy goodness of our bumby bumb chocolate brownies",56.95,images/7728909233119ac9.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/35081430ffcb4f567d8d88a7d710ed6c.jpg?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Chocolate,Chocolate Crunchy Caramel,A distinctive blend of milk chocolate and crisp french biscuits with a surprising filling of salted caramel and covered with delicious chocolate chips 350 gram,119.95,images/1f602c8da4cbad9c.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/2b5bb239f5688eecae98dcf1e819efdd.jpg?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Chocolate,Sable,All new elegant box filled with 5 delicious pieces of flow wrapped sable chocolate,0,images/5e9ef00b6dd78366.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/d7d64dde6786ba5a90db615df2c414c5.jpg?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Chocolate,Sabaya,"Attractive and delicate design box, containing pieces of special chocolate, rich in delicious fillings, with an irresistible taste",0,images/a4be27740ecd7d60.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/6a431fd15cd845d8bfdc38081f2afaf7.jpg?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Chocolate,Brownie Chocolate Box,"An elegant all-new brownie chocolate box with a variety of delicious flavors (brownie pistachio, brownie lotus, brownie peanut & brownie caramel)",0,images/63b079829e5f8068.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/b4f6a3474210058472b8f39608d3389a.png?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Chocolate,Pecan Caramel Chocolate Box,"Savor the irresistible blend of crunchy pecans, smooth caramel, and rich chocolate",139.95,images/2fb279f88dcc5ab7.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/4a3ee032dad0ff2cfb9226f7b88ce15a.jpg?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Chocolate,Chocolate Snicker Box,"A box of 24 delicious snickers pieces, around 430g.",139,images/63d8add3ea4eb1e5.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/402695dcb80763e089f55d147dc06b0c.png?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Chocolate,Wrapped Chocolate Mix,A mixture of delicious belgian chocolate with mixed flavors,0,images/3d82d3699f169572.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/b1563753fb704eab7ec423f7615a9bd9.jpg?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Gifts,Signature Purple Chocolate Flower Box,Giant flower-shape chocolate sprayed with puprle color cocoa butter molded in milk chocolate and filled with kunafa pistachio,95,images/7494ddac758812a5.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/8270916a7d77b8eeeb75247442fb8dc5.jpg?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Gifts,Signature Red Velvet Hazelnut Praline Box,Giant flower-shape chocolate sprayed with red color cocoa butter molded in milk chocolate and filled with hazelnut praline with french biscuits,95,images/6750b235df6ad3c5.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/c1b21a8ce916642ad343a792d02e98bc.jpg?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Gifts,Gift Box Silver Small,Gift box with delicious 9 pcs of wrapped chocolate,69.95,images/b3e1d772d8a49043.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/001fe8721ea0a835d654ffc8a8bbeb58.jpg?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Gifts,Gift Box Silver Medium,Gift box with delicious 22 pcs of wrapped chocolate,139.95,images/86f36e2f6cc03fd3.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/8c8d4300956346cc03451e4bb7884251.jpg?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Gifts,Gift Box Gold Small,Gift box with delicious 9 pcs of wrapped chocolate,69.95,images/8bf25eb5bad50c59.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/65c8654689c27ae821f14522fbcdaea3.jpg?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Gifts,Cylindrical Classic Wrapped Chocolate Box,"An elegant cylindrical box containing 29 pieces of special chocolates wrapped in gold, beige and dark beige.",140,images/fc2fa00b2d685832.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/84cf26c36abac7494106e64039bc0c6b.jpg?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Gifts,Circular Classic Wrapped Chocolate Medium,"A magnificent circular box filled with 28 pieces of the most specialized wrapped chocolate with gold, beige and dark beige wrapper",140,images/a8efd16bdb88fe36.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/c4730ca7ae8e025ce9b3274bc9b330c7.jpeg?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Gifts,Wood Box Chocolate White Noug,"A luxurious wooden box presented by aani and dani in collaboration with noug,",224,images/f16a839cd1d58df7.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/c800ef1f36dd8939fce0b58fb11bd8db.jpeg?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Gifts,Red Rose Square,"Amaze your senses with pieces of original belgian chocolate with distinctive fillings, wrapped in a golden wrapper and arranged in a luxurious rose box",215.95,images/225ce14a6b14c7da.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/99c3028664764de0c4d91a6ef89f0907.jpg?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Gifts,Chocolate Pencil Favors Box 4 Pieces,"A cute box containing 4 colorful chocolate pencils, weighing approximately 50 g, a lovely choice for favors and special occasions",34,images/8c840c33ea7d23ae.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/e028a2c7659b099b471eec8dba2c1a17.png?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Gifts,Kids Favors Box,"A colorful box containing 12 delicious chocolate wafer pieces, weighing approximately 144 grams. perfect for kids’ gifts and favors for any occasion",89,images/bac6361fb62da5cc.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/41235242da6d0e10f317da5ae8dc0ae4.png?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Gifts,Kids Favors Box,"A cute box containing 12 pieces, approximately 120 g of wrapped chocolate rice crispies, perfect as kids' gifts and favors for various occasions",69,images/6381501665c994c7.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/49bc50f72fa6344662743ded354afade.png?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Gifts,Dreams Favors Box,"A cute box containing 12 pieces, approximately 144 g of wrapped chocolate wafer, perfect as kids’ gifts and favors for various occasions.",89,images/44e1b03bb6a8e725.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/caacad8dd8a0589fc0a693dc5f4efc9e.png?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Luxury Trays,Thick Triangular Glass Dish Silver,Thick triangular glass dish filled with 72 pieces or approx. 630 grams of aani & dani special chocolates,299,images/6fd23fd2f4633e59.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/415c93e2edc8f8b6a7fb56f600a0baae.jpg?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Luxury Trays,Thick Triangular Glass Dish Gold,Thick triangular glass dish filled with 68 pieces or approx. 615 grams of aani & dani special chocolates,299,images/0aa6f9032f1d4cb1.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/1ca7baaaf358ca2697206d44ffae885a.jpg?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Luxury Trays,Rectangular Glass Dish Gold,Rectangular glass dish filled with 65 pieces or approx. 620 grams of aani & dani special chocolates,299,images/92b9c250faeb4091.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/f0545b018be7e0873f3c8a3e84d1c9c5.jpg?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Luxury Trays,Rectangular Glass Dish Silver,Rectangular glass dish filled with 66 pieces or approx. 605 grams of aani & dani special chocolates,299,images/e56251b85b180cd2.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/15363e76329fe95c42436037df3bb13e.jpg?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Luxury Trays,Crystal Med Round Vase Gold 1,Crystal vase filled with 67 pieces or approx. 680 grams of aani & dani special chocolates,299,images/db4383fd981719ae.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/5cc0c5ac9eeefbaff06a958c819d0212.jpg?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Luxury Trays,Crystal Big Round Vase Silver 4,Crystal vase filled with 92 pieces or approx. 662 grams of aani & dani special chocolates,299,images/13dede5e42b14ff1.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/3d867237fb0432fee47abb75e755a052.jpg?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Luxury Trays,Thick Octagonal Glass Dish Silver,Thick octagonal glass dish filled with 68 pieces or approx. 625 grams of aani & dani special chocolates,299,images/c74a46384a22d6b9.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/60ae996ae3b9c0b0c7f928ead8da1fe1.jpg?width=1440&quality=75&webp=true
Agent Burger,agent-burger-179471,Side Orders,Fresh Fries,Fries fresh,10,images/29cd5f8050943ed0.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ABGR/cb8bfdcb837f64e02436f2159a35b74a.jpg?width=1440&quality=75&webp=true
Agent Burger,agent-burger-179471,Side Orders,Special Agent Sauce,Our special for you,5,images/d9209177ea5e852e.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ABGR/6703ca911db0bb1c19f8a5ff6b965a68.jpg?width=1440&quality=75&webp=true
Agent Burger,agent-burger-179471,Drinks,Cola,Cola cold,6,images/b02f3d09a80d8687.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ABGR/47be2a4a885a5202a7929024a1089731.jpg?width=1440&quality=75&webp=true
Almathaq Alarabi,almathaq-alarabi-142089,Baklawa,Pecan Baklava,"Arabian taste pecan baklava featuring crispy layers filled with rich pecans and a soft rose hint. a luxurious middle eastern dessert with a distinctive flavor, perfect for lovers of premium baklava. 350g.",84,images/74ec6ead8e155fe4.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-THBI/6dfe7619b0ff8c87ca7d75f844a2780c.png?width=1440&quality=75&webp=true
Almathaq Alarabi,almathaq-alarabi-142089,Baklawa,Baklawa Assortment,"A premium middle eastern sweets assortment featuring baklava cubes, osh al bulbul, baklava fingers, pistachio baklava, and mini pistachio baklava. a rich variety in one elegant selection for lovers of premium baklava. 370g.",82,images/6f1939736ca3a4e3.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-THBI/c433926f7cf0c6cc34953aa43ed4d910.png?width=1440&quality=75&webp=true
Almathaq Alarabi,almathaq-alarabi-142089,Baklawa,Chocolate Covered Baklawa,"Arabian taste chocolate-coated baklava with a rich crunchy texture, filled with cashews and finished with a smooth chocolate layer and toasted almond pieces. 480g.",109,images/513658c9f5662cec.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-THBI/59c47f3c428a24565aec0ce6b6067d88.png?width=1440&quality=75&webp=true
Almathaq Alarabi,almathaq-alarabi-142089,Baklawa,Baklawa Fingers Big,"Crispy outer layer with a soft and airy texture inside, filled with rich cashews and topped with a sprinkle of pistachios. a premium baklava with an authentic eastern flavor for lovers of baklava fingers.",104,images/0ae81f94246b95b4.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-THBI/c1f2e93685c09ade62cd376178665454.png?width=1440&quality=75&webp=true
Almathaq Alarabi,almathaq-alarabi-142089,Baklawa,Baqlawa Fingers   Medium,Crispy on the outside crumbly and tender inside stuffed with the finest cashew nuts and sprinkled with pistachio,79,images/84b997dd940d0d8f.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-THBI/b3a4629e0e24a076ebc74ddb276633eb.png?width=1440&quality=75&webp=true
Almathaq Alarabi,almathaq-alarabi-142089,Baklawa,Pistachio Baklawa,Crispy bites filled with rich pistachios. small pieces with an authentic eastern flavor for lovers of premium baklava.,74,images/df78617bc085cc7d.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-THBI/c315d37b650a91c094d5b0bf453828d2.png?width=1440&quality=75&webp=true
Almathaq Alarabi,almathaq-alarabi-142089,Baklawa,Baklawa Cubes Big,"Crispy on the outside and soft on the inside, filled with premium cashews and topped with pistachios. 550g.",109,images/c9caf3a9a176a3dc.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-THBI/64a06aa9ee7e108d7efb86c71bf32101.png?width=1440&quality=75&webp=true
Almathaq Alarabi,almathaq-alarabi-142089,Baklawa,Baklawa Cubes Small,"Arabian taste pistachio baklava featuring delicate flaky layers and a light crunch, filled with crushed pistachios in every bite. a premium choice for lovers of traditional middle eastern sweets. 230g.",54,images/0a5386e8a6fa3f08.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-THBI/57f5a5b9593078147773aabd7358c784.png?width=1440&quality=75&webp=true
Almathaq Alarabi,almathaq-alarabi-142089,Petit Four,Stuffed Petit Four Variety,"Arabian taste filled petit four assortment featuring four mini crispy bites with chocolate, caramel, cream, and lemon flavors. a delicious variety where each piece has its own distinct taste. 800g.",139,images/4b56c1ced0e4f273.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-THBI/1916a227bfea12060361e5fc5634049f.png?width=1440&quality=75&webp=true
Almathaq Alarabi,almathaq-alarabi-142089,Petit Four,Chocolate Stuffed Petit Four,"Arabian taste crispy petit four bites filled with rich chocolate cream, perfectly sized for hospitality. 550g.",89,images/6ab1e735b3c444ed.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-THBI/64c8ad93bbcd9648941e8d65325973b4.png?width=1440&quality=75&webp=true
Almathaq Alarabi,almathaq-alarabi-142089,Petit Four,Chocolate Stuffed Petit Four 270g,"Arabian taste crispy petit four bites filled with rich chocolate cream, medium-sized and perfect for sharing. 270g.",52,images/cf8b2c7bd94dc6aa.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-THBI/6d53213c42360d01df760092bdcf037b.png?width=1440&quality=75&webp=true
Almathaq Alarabi,almathaq-alarabi-142089,Petit Four,Cream Stuffed Petit Four,"Arabian taste crispy petit four bites filled with rich hazelnut cream, perfectly sized for serving. 270g.",86,images/47729401f88f86b7.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-THBI/9b3433957189f28aafac0f3ede87dcd0.png?width=1440&quality=75&webp=true
Almathaq Alarabi,almathaq-alarabi-142089,Petit Four,Petit Four Royal,"Arabian taste royal petit four featuring two flavors in one assortment: rich chocolate and smooth cream, finished with pistachio and chocolate shavings for a refined touch. 650g.",88,images/837d0a849d199c5e.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-THBI/ae727d28226dc2df36e7401361f91fc1.png?width=1440&quality=75&webp=true
Almathaq Alarabi,almathaq-alarabi-142089,Petit Four,Petit Four Classic,"Arabian taste classic petit four featuring a smooth, simple flavor that brings back authentic sweetness, finished with a touch of pistachio. 590g.",94,images/8a618b38e43bf774.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-THBI/a2cf26ec4192a0c4bf949f94af6f2ce6.png?width=1440&quality=75&webp=true
Almathaq Alarabi,almathaq-alarabi-142089,Petit Four,Mini Pititfour,"Arabian taste chocolate petit four, coated in rich chocolate and topped with a sprinkle of pistachio. perfect for coffee and hospitality. 330g.",44,images/a198ff51f401628a.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-THBI/813ffa005b1865350b4f2f1cbf15e1b1.png?width=1440&quality=75&webp=true
Almathaq Alarabi,almathaq-alarabi-142089,Esh Albulbol,Ush Bulbul Big,"Arabian taste large osh al bulbul featuring a crispy piece filled with pistachios, combining light kunafa texture with a rich filling for a luxurious taste that satisfies lovers of traditional eastern sweets. 510g.",79,images/c8be0589d7603632.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-THBI/d599965bd211dcea3d63c9112c454ecd.png?width=1440&quality=75&webp=true
Almathaq Alarabi,almathaq-alarabi-142089,Esh Albulbol,Ush Bulbul Small,"Arabian taste mini osh al bulbul featuring a crisp bite filled with pistachios, combining light kunafa texture with a rich filling for a premium and easy-to-share experience.",49,images/04d80ab8e9e2ec2a.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-THBI/276585ecefee7f758a4e2718063dc507.png?width=1440&quality=75&webp=true
Almathaq Alarabi,almathaq-alarabi-142089,Mushabak,Moroccan Mushabak,"Arabian taste moroccan meshbak featuring a crispy exterior and soft interior, finished with a touch of pistachio that completes the flavor. a distinctive moroccan-style middle eastern dessert. 700g.",67,images/60d0123941c64c7c.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-THBI/31f01113a1a8a813e7be0563eb9ce903.png?width=1440&quality=75&webp=true
AN Burger,an-burger-122815,Meals,Value Meal For Two,2 double burgers and 2 coca cola and 2 packs of french fries,102.2,images/e98ea5236cf383bf.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ANB/87b40640b06f17bd8e3400d1f7a24815.jpg?width=1440&quality=75&webp=true
AN Burger,an-burger-122815,Meals,Value Meal For Four,4 double burger with 4 fries and 4 cola,226.8,images/79cb4f045d5e9b39.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ANB/4be616a677f3644a543f3d0372dcb579.jpg?width=1440&quality=75&webp=true
AN Burger,an-burger-122815,Meals,Family Value Meal,6 double burgers and 4 fries and 6 colas and 3 chicken strips,299.6,images/45d4723a053fb7cc.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ANB/70c4422973ff5f2801626794c1c4164d.jpg?width=1440&quality=75&webp=true
AN Burger,an-burger-122815,Special An Offer,Truffle Double Burger,A two piece of luxurious black angus with special truffle sauce served with a two piece of cheddar cheese,40,images/39627ab791cdc7c3.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ANB/ffb0e27eb4ba074ddbfdb04e81dc3c03.jpg?width=1440&quality=75&webp=true
AN Burger,an-burger-122815,Special An Offer,Spicy Double Burger,A two piece of luxurious black angus with special spicy sauce served with a two piece of cheddar cheese,40,images/775ba743871080c2.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ANB/68cffff8aa1a8ef69050680634144178.jpg?width=1440&quality=75&webp=true
AN Burger,an-burger-122815,Special An Offer,Special An Burger,Two pieces of luxurious black angus with special an sauce and caramelized onions served with a piece of cheddar cheese,33,images/d69359e227dff5bd.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ANB/d8b9cff71e80659bfd21d043cace33dc.jpg?width=1440&quality=75&webp=true
